location_id,location_name,sex_id,sex,age_group_id,age_group_name,measure,mean_1990_2015,lower_1990_2015,upper_1990_2015,mean_1990_2005,lower_1990_2005,upper_1990_2005,mean_2005_2015,lower_2005_2015,upper_2005_2015
45,Bulgaria,1,Male,27,Age-standardized,Daily smoking prevalence,-0.005796446,-0.010171434,-0.001319051,-6.19E-06,-0.0060091,0.006156986,-0.014481836,-0.024294153,-0.005286682
45,Bulgaria,2,Female,27,Age-standardized,Daily smoking prevalence,0.006147,-0.002651579,0.015214096,0.013267552,0.000940432,0.027825112,-0.00453383,-0.020553006,0.01074194
45,Bulgaria,3,Both,27,Age-standardized,Daily smoking prevalence,-0.000840143,-0.005055598,0.003629908,0.005263437,-0.001221766,0.011637722,-0.009995512,-0.019360181,-0.001177805
46,Croatia,1,Male,27,Age-standardized,Daily smoking prevalence,-0.009289915,-0.013932158,-0.004125431,-0.012814842,-0.019035347,-0.005791779,-0.004002525,-0.013954758,0.006505937
46,Croatia,2,Female,27,Age-standardized,Daily smoking prevalence,-0.000231327,-0.008646515,0.00829784,-0.008364864,-0.019808924,0.003846319,0.01196898,-0.006181198,0.029021848
46,Croatia,3,Both,27,Age-standardized,Daily smoking prevalence,-0.005210677,-0.009924225,-0.000592239,-0.010948923,-0.017215703,-0.004755154,0.003396693,-0.00666917,0.01329175
47,Czech Republic,1,Male,27,Age-standardized,Daily smoking prevalence,-0.005825867,-0.010959823,-0.001182255,-0.010024267,-0.016791467,-0.00336376,0.000471734,-0.009971655,0.010407764
47,Czech Republic,2,Female,27,Age-standardized,Daily smoking prevalence,-0.005453699,-0.013238614,0.002740115,-0.007518561,-0.018494623,0.003760104,-0.002356407,-0.019027753,0.014990108
47,Czech Republic,3,Both,27,Age-standardized,Daily smoking prevalence,-0.005540378,-0.010077022,-0.000988354,-0.008847427,-0.014955304,-0.002593421,-0.000579804,-0.009636319,0.008644605
48,Hungary,1,Male,27,Age-standardized,Daily smoking prevalence,-0.011481851,-0.01657588,-0.006858777,-0.008067096,-0.014750239,-0.000709923,-0.016603984,-0.027298769,-0.005896555
48,Hungary,2,Female,27,Age-standardized,Daily smoking prevalence,-0.000977959,-0.010158182,0.007897614,0.004283491,-0.008413961,0.017275354,-0.008870133,-0.027615774,0.009148523
48,Hungary,3,Both,27,Age-standardized,Daily smoking prevalence,-0.006833827,-0.012127124,-0.001914346,-0.002776845,-0.009751313,0.004307492,-0.0129193,-0.02297101,-0.002752721
49,Macedonia,1,Male,27,Age-standardized,Daily smoking prevalence,0.00409735,-0.000595379,0.008724308,0.007028823,0.000165194,0.01440339,-0.00029986,-0.010129932,0.009764728
49,Macedonia,2,Female,27,Age-standardized,Daily smoking prevalence,0.009911249,-0.000532159,0.019356426,0.011578405,-0.002756844,0.02661874,0.007410512,-0.013003277,0.027928717
49,Macedonia,3,Both,27,Age-standardized,Daily smoking prevalence,0.006182222,0.001650748,0.010659606,0.008545572,0.001378792,0.015574967,0.002637197,-0.007244533,0.01273571
